LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID177901,177901,,4365.0732421875,76.30665140962864,82.23882631311969,0.0,131.0,131,1.5,1,,3723.0,3591.0,1918.0,6192.0,78183.0,1290.745133634057,1617.095238095238,1638.0,661.0,2644.0,33959.0,647.4131528446039,0.3081928330750262,1.359043335294033,0.16559905609782258,0.7097293176995191
ID177906,177906,66,4295.81689453125,76.24336799789108,82.23837657224186,0.0,132.0,132,1.5,1,,3712.5238095238096,3653.0,1925.0,6139.0,77963.0,1267.8600718946716,1626.7619047619048,1656.0,631.0,2668.0,34162.0,635.3964042046433,0.30833177755355906,1.3801564359387823,0.17071833381167992,0.7466842321595389
ID177905,177905,66,4317.15185546875,76.27705449215824,82.22910666121155,0.0,133.0,133,1.5,1,,3732.0,3614.0,1972.0,6129.0,78372.0,1278.9218897180547,1555.6190476190477,1564.0,582.0,2561.0,32668.0,633.0708867252131,0.30976091248080717,1.3802641226112402,0.15900483391724693,0.6742267608312909
ID177904,177904,66,4413.32958984375,76.26285453383309,82.25959016666894,0.0,134.0,134,1.5,1,,3724.2380952380954,3644.0,1944.0,6311.0,78209.0,1304.6395634335906,1568.6666666666667,1554.0,590.0,2638.0,32942.0,639.5018634322604,0.3114696369768402,1.3559209338879912,0.15798261725444018,0.6693081506073646
ID177903,177903,66,4295.12939453125,76.26663502442008,82.2795786570453,0.0,135.0,135,1.5,1,,3719.1428571428573,3540.0,1956.0,6172.0,78102.0,1268.7815921471388,1554.0,1578.0,565.0,2606.0,32634.0,639.4230993637938,0.30706714446194694,1.377277457783006,0.1627540317731785,0.680356581922926
ID177907,177907,66,4349.322265625,76.24720160322302,82.25643791181571,0.0,136.0,136,1.5,1,,3727.0476190476193,3587.0,1979.0,6184.0,78268.0,1278.5466544553813,1566.857142857143,1593.0,614.0,2635.0,32904.0,635.2288001747313,0.30922624959488143,1.377019232890867,0.16065027315176125,0.682824833950679
ID177908,177908,66,4317.75244140625,76.25061047891985,82.24702486193526,0.0,137.0,137,1.5,1,,3724.3809523809523,3593.0,1953.0,6067.0,78212.0,1272.2560857072162,1539.1904761904761,1543.0,587.0,2541.0,32323.0,629.1569453679757,0.30994661362922643,1.385296875960846,0.1572187439864311,0.6647406399234486
ID177909,177909,66,4393.5146484375,76.25043827024271,82.21127101232787,0.0,138.0,138,1.5,1,,3712.6666666666665,3612.0,1929.0,6203.0,77966.0,1293.8709106140896,1564.0,1574.0,566.0,2658.0,32844.0,643.5256793633025,0.31012999888674403,1.3584835755509412,0.158457224485477,0.6648641329751754
ID177910,177910,,1214.324462890625,76.32805641756431,82.24027126710497,0.0,139.0,139,1.5,1,,1113.6666666666667,1047.0,609.0,1777.0,23387.0,363.22064001558795,1552.2857142857142,1541.0,593.0,2576.0,32598.0,639.6376429555364,0.28253358925143957,1.3508777107094172,0.15959660637105808,0.6680121456132256
ID177915,177915,,4450.61767578125,96.59159266278321,91.44969473902268,0.0,141.0,141,1.5,1,,4035.6190476190477,4163.0,1748.0,6494.0,84748.0,1495.2483565010355,1300.857142857143,1186.0,767.0,2280.0,27318.0,442.8364580422761,0.28892826317570525,1.2100076197346097,0.26802436901653615,1.2418321966076056
